time,"ADC0","ADC1"
"2018-09-25 13:10:56.964348",1335,1341,
"2018-09-25 13:15:56.010757",1335,1342,
"2018-09-25 13:20:56.201799",1335,1342,
"2018-09-25 13:25:56.268941",1335,1342,
"2018-09-25 13:30:56.366158",1335,1342,
"2018-09-25 13:35:56.443194",1335,1342,
"2018-09-25 13:40:56.495413",1335,1342,
"2018-09-25 13:45:56.532829",1335,1342,
"2018-09-25 13:50:56.613121",1335,1342,
"2018-09-25 13:55:56.689080",1335,1342,
"2018-09-25 14:00:56.790595",1335,1342,
"2018-09-25 14:05:56.818827",1335,1342,
"2018-09-25 14:10:56.918732",1335,1342,
"2018-09-25 14:15:56.006315",1335,1342,
"2018-09-25 14:20:56.190349",1335,1342,
"2018-09-25 14:25:56.238988",1335,1342,
"2018-09-25 14:30:56.345824",1335,1342,
"2018-09-25 14:35:56.412315",1335,1342,
"2018-09-25 14:40:56.481913",1335,1342,
"2018-09-25 14:45:56.535865",1335,1342,
"2018-09-25 14:50:56.613319",1335,1342,
"2018-09-25 14:55:56.658956",1336,1342,
"2018-09-25 15:00:56.750540",1336,1342,
"2018-09-25 15:05:56.873311",1336,1342,
"2018-09-25 15:10:56.936544",1337,1342,
"2018-09-25 15:15:55.935634",1337,1342,
"2018-09-25 15:20:56.184583",1337,1342,
"2018-09-25 15:25:56.284689",1337,1342,
"2018-09-25 15:30:56.334639",1337,1342,
"2018-09-25 15:35:56.371533",1337,1342,
"2018-09-25 15:40:56.404663",1337,1342,
"2018-09-25 15:45:56.458595",1337,1342,
"2018-09-25 15:50:56.526788",1337,1342,
"2018-09-25 15:55:56.576389",1337,1342,
"2018-09-25 16:00:56.614576",1338,1342,
"2018-09-25 16:05:56.663157",1338,1342,
"2018-09-25 16:10:56.711779",1338,1342,
"2018-09-25 16:15:56.753537",1338,1342,
"2018-09-25 16:20:55.963513",1338,1342,
"2018-09-25 16:25:56.031650",1338,1342,
"2018-09-25 16:30:56.061252",1338,1342,
"2018-09-25 16:35:56.131572",1338,1342,
"2018-09-25 16:40:56.153263",1338,1342,
"2018-09-25 16:45:56.230224",1338,1342,
"2018-09-25 16:50:56.267401",1338,1342,
"2018-09-25 16:55:56.311974",1338,1342,
"2018-09-25 17:00:56.390241",1338,1342,
"2018-09-25 17:05:56.450186",1338,1342,
"2018-09-25 17:10:56.544298",1338,1342,
"2018-09-25 17:15:56.608818",1338,1342,
"2018-09-25 17:20:56.834206",1338,1342,
"2018-09-25 17:25:56.889942",1338,1342,
"2018-09-25 17:30:56.943160",1338,1342,
"2018-09-25 17:35:56.017748",1338,1342,
"2018-09-25 17:40:56.063776",1338,1342,
"2018-09-25 17:45:56.145878",1337,1342,
"2018-09-25 17:50:56.181193",1336,1342,
"2018-09-25 17:55:56.277022",1336,1342,
"2018-09-25 18:00:56.317689",1336,1342,
"2018-09-25 18:05:56.482905",1335,1342,
"2018-09-25 18:10:56.570464",1335,1342,
"2018-09-25 18:15:56.652969",1335,1342,
"2018-09-25 18:20:56.867796",1335,1342,
"2018-09-25 18:25:56.947978",1335,1342,
"2018-09-25 18:30:56.088681",1334,1342,
"2018-09-25 18:35:56.165364",1334,1342,
"2018-09-25 18:40:56.247927",1334,1342,
"2018-09-25 18:45:56.327920",1334,1342,
"2018-09-25 18:50:56.413642",1334,1342,
"2018-09-25 18:55:56.436443",1334,1342,
"2018-09-25 19:00:56.537383",1334,1342,
"2018-09-25 19:05:56.559035",1334,1342,
"2018-09-25 19:10:56.624105",1334,1342,
"2018-09-25 19:15:56.662865",1333,1342,
"2018-09-25 19:20:56.900328",1333,1342,
"2018-09-25 19:25:55.953184",1333,1342,
"2018-09-25 19:30:56.045867",1333,1342,
"2018-09-25 19:35:56.134576",1333,1342,
"2018-09-25 19:40:56.219454",1333,1342,
"2018-09-25 19:45:56.287691",1333,1342,
"2018-09-25 19:50:56.336416",1333,1342,
"2018-09-25 19:55:56.406996",1333,1342,
"2018-09-25 20:00:56.486557",1333,1342,
"2018-09-25 20:05:56.590630",1333,1342,
"2018-09-25 20:10:56.684481",1333,1342,
"2018-09-25 20:15:56.776586",1332,1342,
"2018-09-25 20:20:56.011877",1332,1342,
"2018-09-25 20:25:56.078940",1332,1342,
"2018-09-25 20:30:56.140228",1332,1342,
"2018-09-25 20:35:56.216284",1332,1342,
"2018-09-25 20:40:56.362753",1332,1342,
"2018-09-25 20:45:56.376826",1332,1342,
"2018-09-25 20:50:56.440279",1332,1342,
"2018-09-25 20:55:56.480383",1332,1342,
"2018-09-25 21:00:56.545153",1332,1342,
"2018-09-25 21:05:56.641860",1332,1342,
"2018-09-25 21:10:56.725481",1332,1342,
"2018-09-25 21:15:56.768495",1332,1342,
"2018-09-25 21:20:55.982928",1332,1342,
"2018-09-25 21:25:56.023152",1332,1342,
"2018-09-25 21:30:56.067219",1332,1342,
"2018-09-25 21:35:56.117733",1332,1342,
"2018-09-25 21:40:56.174063",1332,1342,
"2018-09-25 21:45:56.244054",1332,1342,
"2018-09-25 21:50:56.310363",1332,1342,
"2018-09-25 21:55:56.364732",1332,1342,
"2018-09-25 22:00:56.420696",1332,1342,
"2018-09-25 22:05:56.505934",1332,1342,
"2018-09-25 22:10:56.543127",1332,1342,
"2018-09-25 22:15:56.626317",1332,1342,
